a52dec 0.7.4-10
aalib 1.4rc5-13
accountsservice 0.6.55-1
acl 2.2.53-1
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adwaita-icon-theme 3.32.0-1
alsa-firmware 1.0.29-2
alsa-lib 1.1.9-1
alsa-utils 1.1.9-1
aom 1.0.0.errata1-1
apulse 0.1.12-1
arandr 0.1.10-3
arc-gtk-theme 20190330-1
archlinux-keyring 20190805-1
argon2 20190702-1
aribb24 1.0.3-2
asar 2.0.1-1
at-spi2-atk 2.32.0-1
at-spi2-core 2.32.1-1
atk 2.32-1
atkmm 2.28.0-1
attr 2.4.48-1
audit 2.8.5-3
autoconf 2.69-5
automake 1.16.1-1
avahi 0.7+18+g1b5f401-2
bash 5.0.007-1
bash-completion 2.9-1
binutils 2.32-2
bison 3.3.2-1
bluez 5.50-6
bluez-libs 5.50-6
bluez-utils 5.50-6
bzip2 1.0.8-2
c-ares 1.15.0-1
ca-certificates 20181109-1
ca-certificates-mozilla 3.45-1
ca-certificates-utils 20181109-1
cairo 1.17.2+17+g52a7c79fd-1
cairomm 1.12.2-3
cantarell-fonts 1:0.111-1
cdparanoia 10.2-7
clang 8.0.1-1
cmake 3.15.1-1
code 1.36.1-1
colord 1.4.4-2
compiler-rt 8.0.1-1
compton 7.1-1
confuse 3.2.2-1
coreutils 8.31-1
cracklib 2.9.7-1
cryptsetup 2.1.0-1
curl 7.65.3-1
dav1d 0.3.0-1
db 5.3.28-4
dbus 1.12.16-1
dbus-glib 0.110-1
dconf 0.32.0-3
desktop-file-utils 0.24-1
device-mapper 2.02.185-1
dhcpcd 7.2.2-1
dialog 1:1.3_20190728-1
diffutils 3.7-1
dmenu 4.9-1
dnssec-anchors 20190629-1
double-conversion 3.1.5-1
e2fsprogs 1.45.3-1
efibootmgr 16-1
efivar 37-1
egl-wayland 1.1.3-1
eglexternalplatform 1.0+3+g7c8f8e2-1
electron 6.0.0-1
electron4 4.2.8-1
ethtool 1:5.2-1
exo 0.12.7-1
expat 2.2.7-1
faad2 2.8.8-1
fakeroot 1.23-1
feh 3.2.1-1
ffmpeg 1:4.2-2
fftw 3.3.8-1
file 5.37-2
filesystem 2019.05-2
findutils 4.6.0-4
firefox 68.0.1-2
flac 1.3.3-1
flameshot 0.6.0-3
flex 2.6.4-2
fontconfig 2:2.13.1+12+g5f5ec56-1
freeglut 3.0.0-2
freetype2 2.10.1-1
fribidi 1.0.5-1
gawk 4.2.1-2
gc 7.6.8-1
gcc 9.1.0-2
gcc-libs 9.1.0-2
gconf 3.2.6+11+g07808097-4
gcr 3.28.1-1
gd 2.2.5-2
gdbm 1.18.1-2
gdk-pixbuf2 2.38.1-1
geoclue 2.5.3-2
geocode-glib 3.26.1-1
gettext 0.19.8.1-3
giflib 5.2.1-1
git 2.22.0-1
glew 2.1.0-1
glib-networking 2.60.3-1
glib2 2.60.6-1
glibc 2.29-4
glibmm 2.60.0-1
glu 9.0.1-1
gmp 6.1.2-2
gnome-bluetooth 3.32.1-1
gnu-free-fonts 20120503-6
gnupg 2.2.17-2
gnutls 3.6.9-1
go 2:1.12.7-1
gobject-introspection-runtime 1.60.2-1
google-chrome 76.0.3809.132-1
gperftools 2.7-1
gpgme 1.13.1-1
gpicview 0.2.5-4
gpm 1.20.7.r27.g1fd1941-1
graphene 1.8.6-1
graphite 1:1.3.13-1
grep 3.3-1
grilo 0.3.9-1
groff 1.22.4-1
grub 2:2.04-2
gsettings-desktop-schemas 3.32.0-2
gsm 1.0.18-1
gst-plugins-base 1.16.0-3
gst-plugins-base-libs 1.16.0-3
gst-plugins-good 1.16.0-1
gstreamer 1.16.0-2
gtk-update-icon-cache 1:3.24.10-1
gtk2 2.24.32-1
gtk3 1:3.24.10-1
gtkmm3 3.24.1-1
guile 2.2.6-1
gzip 1.10-1
harfbuzz 2.5.3-1
harfbuzz-icu 2.5.3-1
hexchat 2.14.2-3
hicolor-icon-theme 0.17-1
htop 2.2.0-2
http-parser 2.9.2-1
hunspell 1.7.0-2
hwids 20190316-1
hwloc 1.11.12-1
i3-gaps 4.16.1-1
i3blocks 1.4-6
i3lock 2.12-1
i3status 2.13-2
i3status-rust-git 0.9.0.r655.g96e932d-1
iana-etc 20190722-1
icu 64.2-1
imlib2 1.5.1-1
inetutils 1.9.4-7
iperf 2.0.13-1
iproute2 5.2.0-1
iptables 1:1.8.3-1
iputils 20180629.f6aac8d-4
iso-codes 4.3-1
jack 0.125.0-7
jansson 2.12-1
jasper 2.0.16-1
jfsutils 1.1.15-6
js60 60.8.0-1
json-c 0.13.1-2
json-glib 1.4.4-1
jsoncpp 1.8.4-2
kbd 2.0.4-2
keyutils 1.6.1-1
kmod 26-2
krb5 1.17-1
l-smash 2.14.5-1
lame 3.100-2
